Week,WeekName,Theme,PromptText,OtherAngles
1,Inheritance,I got it from my mama/papa,Prepare a five-minute story about something you inherited — jokes, traditions, taste.,"Heirlooms, Traits, Family Lore"
2,Youthful Imaginings,Beginnings,Prepare a five-minute story about unfulfilled hopes, wild ambitions, or the thing you always dreamed you'd become (but never did).,"Compromise, Rite of Passage, Dawning Realizations"
3,Relationships,Family Matters,"Prepare a five-minute story about the people you're bound to by blood, marriage, or choice… holiday meltdowns, group texts gone rogue, unconditional love, or long-held grudges.","Parents, Siblings, Cousins"
4,Childhood,School Days,"Prepare a five-minute story about something or someone unforgettable from school — awkward, hilarious, or life-defining.","Growing Up, Playground, Bullies, Mentors"
5,Faith,Leap of Faith,Prepare a five-minute story about a big risk you took without knowing where you'd land.,"Religion, Miracle, Caution to the Wind"
6,Heartbreak,Love Hurts,"Prepare a five-minute story of a love that made you go OUCH — the agony of deferred love, the misery of good love gone bad, or the anguish of unrequited love.","The One that Got Away, Breaking Up, Blind Date"
7,True Love,Falling,"Prepare a five-minute story about your earliest romantic awakening, your first love, or your forever love.","Cupid's Target, Wedding Bells, Romantic Awakenings"
8,Conflict,Dodgy,"Prepare a five-minute story about deception or suspicion, being played for a fool, or calling someone out.","Enemies, Rivalry, Interference"
9,Chaos,Disasterpiece,"Prepare a five-minute story about a disaster so epic it became its own work of art — chaotic, messy, unforgettable.","Oops!, Dropping the ball, Misread"
10,Risk,Trouble,"Prepare a five-minute story about defying authority, a gamble that paid off — or didn't.","Crime and Punishment, Breaking the Rules, Caught in the Act"
11,Adventure & Travel,On the Road,"Prepare a five-minute story about a journey, physical or emotional, that changed you.","Lost, Far from Home, Detour"
12,Transformation,Second Chance,"Prepare a five-minute story about a fresh start, a new chapter, a turning point, or the moment you finally snapped and walked away — and what came of it.","Starting Over, Reset, Reinvention"
13,Work,On the Job,"Prepare a five-minute story about the work you did, the work you wanted, or the job that surprised you.","Boss, Hustle, Reward"
14,Setbacks,Failure,"Prepare a five-minute story about a time when things didn't go your way, when you went too far, or discovered your limits.","Reputation, Lesson Learned, Getting Up — Again"
15,Fate,Luck,"Prepare a five-minute story about a lucky break, a twist of fate, or the unexpected working in your favor.","Right Place, Wrong Time; Pulling Sticks, Serendipity"
16,Secrets,"Shock, Scandal, and Raised Eyebrows",Prepare a five-minute story about a secret you kept — or a secret that came out.,"Skeletons in the Closet, Confession, Taboo"
17,Parenting,Growing Pains,Prepare a five-minute story about the time your child became your teacher.,"Motherhood/Fatherhood, What Could Go Wrong?, Plot Twist"
18,Losing,Goodbye,Prepare a five-minute story about loss — letting go of something or someone you thought you'd always have.,"Death, Acceptance, Forgiveness"
19,The Unexpected,Strange Encounters,"Prepare a five-minute story about unexpected brushes with the peculiar, the wild, or the unforgettable.","Truth is Stranger than Fiction, Out of the Ordinary, Crazy World"
20,Courage,Guts,Prepare a five-minute story about a moment when you had to be brave.,"Reluctant Hero, Stronger than you think, The Right Thing"
21,Gratitude,Blessings,Prepare a five-minute story about someone or something you are truly grateful for.,"Joy, Kindness, Ticking off the Bucket List"
22,Ambition,Sweat and Tears,"Prepare a five-minute story about keeping your eye on the prize; cut-throat tactics or keeping your nose to the grindstone.","Drive, Sacrifice, The Big Break"
23,Narrow Escapes,Danger and Defiance,Prepare a five-minute story about a narrow escape — a moment you were almost in trouble, but somehow came out unscathed.,"Life and Death, What If?, Miracles"
24,If I Knew Then,Lessons for my Future,Prepare a five-minute story about something you wish you could have told your younger self.,"Hindsight, Wide Angle Lens"
25,Legacy (Part I),Home and Heritage,Prepare a five-minute story about the place you first called home and what it means now.,"Family Matters, Roots, Bloodline"
26,Legacy (Part 2),Wisdom (reprise Week 2),Prepare a five-minute story about what you hope will endure in your life — dreams, lessons, loves, memories.,What Remains
